gene,annotation,symbol
AT3G05000,Transport protein particle (TRAPP) component(AT3G05000),AT3G05000
AT3G05010,"Protein of unknown function, transmembrane-40(Cand2)",Cand2
AT3G05020,acyl carrier protein 1(ACP1),ACP1
AT3G05030,sodium hydrogen exchanger 2(NHX2),NHX2
AT3G05040,ARM repeat superfamily protein(HST),HST
AT3G05050,Protein kinase superfamily protein(AT3G05050),AT3G05050
AT3G05060,NOP56-like pre RNA processing ribonucleoprotein(AT3G05060),AT3G05060
AT3G05070,Cwf18 pre-mRNA splicing factor(AT3G05070),AT3G05070
AT3G05090,Transducin/WD40 repeat-like superfamily protein(LRS1),LRS1
AT3G05100,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT3G05100),AT3G05100
AT3G05110,"early endosome antigen-like protein, putative (DUF3444)(AT3G05110)",AT3G05110
AT3G05120,alpha/beta-Hydrolases superfamily protein(GID1A),GID1A
AT3G05130,paramyosin-like protein(AT3G05130),AT3G05130
AT3G05140,ROP binding protein kinases 2(RBK2),RBK2
AT3G05150,Major facilitator superfamily protein(AT3G05150),AT3G05150
AT3G05152,ncRNA(AT3G05152),AT3G05152
AT3G05155,Major facilitator superfamily protein(AT3G05155),AT3G05155
AT3G05160,Major facilitator superfamily protein(AT3G05160),AT3G05160
AT3G05165,Major facilitator superfamily protein(AT3G05165),AT3G05165
AT3G05170,Phosphoglycerate mutase family protein(AT3G05170),AT3G05170
AT3G05180,GDSL-like Lipase/Acylhydrolase superfamily protein(AT3G05180),AT3G05180
AT3G05190,D-aminoacid aminotransferase-like PLP-dependent enzymes superfamily protein(AT3G05190),AT3G05190
AT3G05200,RING/U-box superfamily protein(ATL6),ATL6
AT3G05210,nucleotide repair protein(ERCC1),ERCC1
AT3G05220,Heavy metal transport/detoxification superfamily protein(AT3G05220),AT3G05220
AT3G05230,Signal peptidase subunit(AT3G05230),AT3G05230
AT3G05240,mitochondrial editing factor 19(MEF19),MEF19
AT3G05250,RING/U-box superfamily protein(AT3G05250),AT3G05250
AT3G05260,NAD(P)-binding Rossmann-fold superfamily protein(AT3G05260),AT3G05260
AT3G05270,filament-like protein (DUF869)(AT3G05270),AT3G05270
AT3G05280,Integral membrane Yip1 family protein(AT3G05280),AT3G05280
AT3G05290,peroxisomal adenine nucleotide carrier 1(PNC1),PNC1
AT3G05310,MIRO-related GTP-ase 3(MIRO3),MIRO3
AT3G05320,O-fucosyltransferase family protein(AT3G05320),AT3G05320
AT3G05327,Cyclin family protein(AT3G05327),AT3G05327
AT3G05330,cyclin family(ATN),ATN
AT3G05340,Tetratricopeptide repeat (TPR)-like superfamily protein(AT3G05340),AT3G05340
AT3G05345,Chaperone DnaJ-domain superfamily protein(AT3G05345),AT3G05345
AT3G05350,Metallopeptidase M24 family protein(AT3G05350),AT3G05350
AT3G05360,receptor like protein 30(RLP30),RLP30
AT3G05370,receptor like protein 31(RLP31),RLP31
AT3G05380,ALWAYS EARLY 2(ALY2),ALY2
AT3G05390,S-adenosyl-L-methionine-dependent methyltransferase(AT3G05390),AT3G05390
AT3G05400,Major facilitator superfamily protein(AT3G05400),AT3G05400
AT3G05410,Photosystem II reaction center PsbP family protein(AT3G05410),AT3G05410
AT3G05415,hypothetical protein(AT3G05415),AT3G05415
AT3G05420,acyl-CoA binding protein 4(ACBP4),ACBP4
AT3G05430,Tudor/PWWP/MBT superfamily protein(AT3G05430),AT3G05430
AT3G05450,cystatin-like protein(AT3G05450),AT3G05450
AT3G05470,Actin-binding FH2 (formin homology 2) family protein(AT3G05470),AT3G05470
AT3G05480,cell cycle checkpoint control protein family(RAD9),RAD9
AT3G05490,ralf-like 22(RALFL22),RALFL22
AT3G05500,Rubber elongation factor protein (REF)(AT3G05500),AT3G05500
AT3G05510,Phospholipid/glycerol acyltransferase family protein(AT3G05510),AT3G05510
AT3G05520,Subunits of heterodimeric actin filament capping protein Capz superfamily(CPA),CPA
AT3G05530,regulatory particle triple-A ATPase 5A(RPT5A),RPT5A
AT3G05545,RING/U-box superfamily protein(AT3G05545),AT3G05545
AT3G05550,Hypoxia-responsive family protein(AT3G05550),AT3G05550
AT3G05560,Ribosomal L22e protein family(AT3G05560),AT3G05560
AT3G05570,dipeptide transport ATP-binding protein(AT3G05570),AT3G05570
AT3G05580,Calcineurin-like metallo-phosphoesterase superfamily protein(TOPP9),TOPP9
AT3G05590,ribosomal protein L18(RPL18),RPL18
AT3G05600,alpha/beta-Hydrolases superfamily protein(AT3G05600),AT3G05600
AT3G05620,Plant invertase/pectin methylesterase inhibitor superfamily(AT3G05620),AT3G05620
AT3G05625,Tetratricopeptide repeat (TPR)-like superfamily protein(AT3G05625),AT3G05625
AT3G05630,phospholipase D P2(PLDP2),PLDP2
AT3G05640,Protein phosphatase 2C family protein(AT3G05640),AT3G05640
AT3G05650,receptor like protein 32(RLP32),RLP32
AT3G05660,receptor like protein 33(RLP33),RLP33
AT3G05670,RING/U-box protein(AT3G05670),AT3G05670
AT3G05675,BTB/POZ domain-containing protein(AT3G05675),AT3G05675
AT3G05680,embryo defective 2016(EMB2016),EMB2016
AT3G05685,Cystatin/monellin superfamily protein(AT3G05685),AT3G05685
AT3G05690,"nuclear factor Y, subunit A2(NF-YA2)",NF-YA2
AT3G05700,Drought-responsive family protein(AT3G05700),AT3G05700
AT3G05710,syntaxin of plants 43(SYP43),SYP43
AT3G05720,importin alpha isoform 7(IMPA-7),IMPA-7
AT3G05727,S locus-related glycoprotein 1 (SLR1) binding pollen coat protein family(AT3G05727),AT3G05727
AT3G05730,defensin-like protein(AT3G05730),AT3G05730
AT3G05740,RECQ helicase l1(RECQI1),RECQI1
AT3G05750,serine-rich adhesin for platelets-like protein(TRM6),TRM6
AT3G05760,C2H2 and C2HC zinc fingers superfamily protein(AT3G05760),AT3G05760
AT3G05770,hypothetical protein(AT3G05770),AT3G05770
AT3G05780,lon protease 3(LON3),LON3
AT3G05790,lon protease 4(LON4),LON4
AT3G05800,AtBS1(activation-tagged BRI1 suppressor 1)-interacting factor 1(AIF1),AIF1
AT3G05810,IGR motif protein(AT3G05810),AT3G05810
AT3G05820,invertase H(INVH),INVH
AT3G05830,spindle pole body component-like protein(AT3G05830),AT3G05830
AT3G05840,Protein kinase superfamily protein(ATSK12),ATSK12
AT3G05850,MuDR family transposase(MUG7),MUG7
AT3G05858,hypothetical protein(AT3G05858),AT3G05858
AT3G05860,MADS-box transcription factor family protein(AT3G05860),AT3G05860
AT3G05870,anaphase-promoting complex/cyclosome 11(APC11),APC11
AT3G05880,Low temperature and salt responsive protein family(RCI2A),RCI2A
AT3G05890,Low temperature and salt responsive protein family(RCI2B),RCI2B
AT3G05900,neurofilament protein-like protein(AT3G05900),AT3G05900
AT3G05905,ncRNA(AT3G05905),AT3G05905
AT3G05910,Pectinacetylesterase family protein(AT3G05910),AT3G05910
AT3G05920,Heavy metal transport/detoxification superfamily protein(AT3G05920),AT3G05920
AT3G05932,ncRNA(AT3G05932),AT3G05932
AT3G05935,hypothetical protein(AT3G05935),AT3G05935
AT3G05936,hypothetical protein(AT3G05936),AT3G05936
AT3G05937,hypothetical protein(AT3G05937),AT3G05937
AT3G05940,organic solute transporter ostalpha protein (DUF300)(AT3G05940),AT3G05940
AT3G05950,RmlC-like cupins superfamily protein(AT3G05950),AT3G05950
AT3G05970,long-chain acyl-CoA synthetase 6(LACS6),LACS6
AT3G05975,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family(AT3G05975),AT3G05975
AT3G05980,hypothetical protein(AT3G05980),AT3G05980
AT3G05990,Leucine-rich repeat (LRR) family protein(AT3G05990),AT3G05990
AT3G06010,SNF2/Brahma-type chromatin-remodeling protein CHR12(ATCHR12),ATCHR12
AT3G06020,FANTASTIC four-like protein (DUF3049)(FAF4),FAF4
AT3G06030,NPK1-related protein kinase 3(NP3),NP3
AT3G06035,Glycoprotein membrane precursor GPI-anchored(AT3G06035),AT3G06035
AT3G06040,Ribosomal protein L12/ ATP-dependent Clp protease adaptor protein ClpS family protein(AT3G06040),AT3G06040
AT3G06050,peroxiredoxin IIF(PRXIIF),PRXIIF
AT3G06060,NAD(P)-binding Rossmann-fold superfamily protein(TSC10A),TSC10A
AT3G06070,hypothetical protein(AT3G06070),AT3G06070
AT3G06080,trichome birefringence-like protein (DUF828)(TBL10),TBL10
AT3G06100,NOD26-like intrinsic protein 7;1(NIP7;1),NIP7;1
AT3G06110,MAPK phosphatase 2(MKP2),MKP2
AT3G06120,basic helix-loop-helix (bHLH) DNA-binding superfamily protein(MUTE),MUTE
AT3G06125,ncRNA(AT3G06125),AT3G06125
AT3G06130,Heavy metal transport/detoxification superfamily protein(AT3G06130),AT3G06130
AT3G06140,RING/U-box superfamily protein(LUL4),LUL4
AT3G06145,RING zinc finger protein(AT3G06145),AT3G06145
AT3G06150,cytochrome P450 family protein(AT3G06150),AT3G06150
AT3G06160,AP2/B3-like transcriptional factor family protein(AT3G06160),AT3G06160
AT3G06170,Serinc-domain containing serine and sphingolipid biosynthesis protein(AT3G06170),AT3G06170
AT3G06180,Ribosomal protein L34e superfamily protein(AT3G06180),AT3G06180
AT3G06190,BTB-POZ and MATH domain 2(BPM2),BPM2
AT3G06200,P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT3G06200),AT3G06200
AT3G06210,ARM repeat superfamily protein(AT3G06210),AT3G06210
AT3G06220,AP2/B3-like transcriptional factor family protein(AT3G06220),AT3G06220
AT3G06240,F-box family protein(AT3G06240),AT3G06240
AT3G06250,FAR1-related sequence 7(FRS7),FRS7
AT3G06260,galacturonosyltransferase-like 4(GATL4),GATL4
AT3G06270,Protein phosphatase 2C family protein(AT3G06270),AT3G06270
AT3G06290,SAC3/GANP/Nin1/mts3/eIF-3 p25 family(SAC3B),SAC3B
AT3G06300,P4H isoform 2(P4H2),P4H2
AT3G06310,Cox19-like CHCH family protein(AT3G06310),AT3G06310
AT3G06320,Ribosomal protein L33 family protein(AT3G06320),AT3G06320
AT3G06330,RING/U-box superfamily protein(AT3G06330),AT3G06330
AT3G06340,DNAJ heat shock N-terminal domain-containing protein(AT3G06340),AT3G06340
AT3G06350,"dehydroquinate dehydratase, putative / shikimate dehydrogenase(MEE32)",MEE32
AT3G06360,arabinogalactan protein 27(AGP27),AGP27
AT3G06370,sodium hydrogen exchanger 4(NHX4),NHX4
AT3G06380,tubby-like protein 9(TLP9),TLP9
AT3G06390,Uncharacterized protein family (UPF0497)(AT3G06390),AT3G06390
AT3G06400,chromatin-remodeling protein 11(CHR11),CHR11
AT3G06410,Zinc finger C-x8-C-x5-C-x3-H type family protein(AT3G06410),AT3G06410
AT3G06420,Ubiquitin-like superfamily protein(ATG8H),ATG8H
AT3G06430,Tetratricopeptide repeat (TPR)-like superfamily protein(PPR2),PPR2
AT3G06433,miscRNA(AT3G06433),AT3G06433
AT3G06435,Expressed protein(AT3G06435),AT3G06435
AT3G06437,miscRNA(AT3G06437),AT3G06437
AT3G06440,Galactosyltransferase family protein(AT3G06440),AT3G06440
AT3G06450,HCO3- transporter family(AT3G06450),AT3G06450
AT3G06455,ubiquitin family protein(AT3G06455),AT3G06455
AT3G06460,GNS1/SUR4 membrane protein family(AT3G06460),AT3G06460
AT3G06470,GNS1/SUR4 membrane protein family(AT3G06470),AT3G06470
AT3G06480,DEAD box RNA helicase family protein(AT3G06480),AT3G06480
AT3G06483,pyruvate dehydrogenase kinase(PDK),PDK
AT3G06490,myb domain protein 108(MYB108),MYB108
AT3G06500,Plant neutral invertase family protein(A/N-InvC),A/N-InvC
AT3G06510,Glycosyl hydrolase superfamily protein(SFR2),SFR2
AT3G06520,agenet domain-containing protein(AT3G06520),AT3G06520
AT3G06530,ARM repeat superfamily protein(AT3G06530),AT3G06530
AT3G06540,Rab escort protein(REP),REP
AT3G06550,O-acetyltransferase family protein(RWA2),RWA2
AT3G06570,Galactose oxidase/kelch repeat superfamily protein(AT3G06570),AT3G06570
AT3G06580,Mevalonate/galactokinase family protein(GALK),GALK
AT3G06590,basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT3G06590),AT3G06590
AT3G06600,transmembrane protein(AT3G06600),AT3G06600
AT3G06610,DNA-binding enhancer protein-like protein(AT3G06610),AT3G06610
AT3G06620,PAS domain-containing protein tyrosine kinase family protein(AT3G06620),AT3G06620
AT3G06630,protein kinase family protein(AT3G06630),AT3G06630
AT3G06640,PAS domain-containing protein tyrosine kinase family protein(AT3G06640),AT3G06640
AT3G06650,ATP-citrate lyase B-1(ACLB-1),ACLB-1
AT3G06660,PAPA-1-like family protein / zinc finger (HIT type) family protein(AT3G06660),AT3G06660
AT3G06670,binding protein(AT3G06670),AT3G06670
AT3G06680,Ribosomal L29e protein family(AT3G06680),AT3G06680
AT3G06690,putative acyl-coenzyme A oxidase(AT3G06690),AT3G06690
AT3G06700,Ribosomal L29e protein family(AT3G06700),AT3G06700
AT3G06710,E3 ubiquitin ligase(AT3G06710),AT3G06710
AT3G06720,importin alpha isoform 1(IMPA-1),IMPA-1
AT3G06730,Thioredoxin z(TRX z),TRX z
AT3G06740,GATA transcription factor 15(GATA15),GATA15
AT3G06750,hydroxyproline-rich glycoprotein family protein(AT3G06750),AT3G06750
AT3G06760,Drought-responsive family protein(AT3G06760),AT3G06760
AT3G06770,Pectin lyase-like superfamily protein(AT3G06770),AT3G06770
AT3G06778,Chaperone DnaJ-domain superfamily protein(AT3G06778),AT3G06778
AT3G06780,glycine-rich protein(AT3G06780),AT3G06780
AT3G06790,plastid developmental protein DAG(MORF3),MORF3
AT3G06810,acyl-CoA dehydrogenase-like protein(IBR3),IBR3
AT3G06820,Mov34/MPN/PAD-1 family protein(BRCC36B),BRCC36B
AT3G06830,Plant invertase/pectin methylesterase inhibitor superfamily(AT3G06830),AT3G06830
AT3G06840,hypothetical protein(AT3G06840),AT3G06840
AT3G06850,2-oxoacid dehydrogenases acyltransferase family protein(BCE2),BCE2
AT3G06860,multifunctional protein 2(MFP2),MFP2
AT3G06868,vitellogenin-like protein(AT3G06868),AT3G06868
AT3G06880,Transducin/WD40 repeat-like superfamily protein(AT3G06880),AT3G06880
AT3G06890,transmembrane protein(AT3G06890),AT3G06890
AT3G06910,UB-like protease 1A(ULP1A),ULP1A
AT3G06920,Tetratricopeptide repeat (TPR)-like superfamily protein(AT3G06920),AT3G06920
AT3G06930,protein arginine methyltransferase 4B(PRMT4B),PRMT4B
AT3G06940,hypothetical protein(MUG5),MUG5
AT3G06950,Pseudouridine synthase family protein(AT3G06950),AT3G06950
AT3G06960,pigment defective 320(PDE320),PDE320
AT3G06962,ncRNA(AT3G06962),AT3G06962
AT3G06980,DEA(D/H)-box RNA helicase family protein(AT3G06980),AT3G06980
AT3G06985,low-molecular-weight cysteine-rich 44(LCR44),LCR44
AT3G06990,Cysteine/Histidine-rich C1 domain family protein(AT3G06990),AT3G06990
AT3G07000,Cysteine/Histidine-rich C1 domain family protein(AT3G07000),AT3G07000
AT3G07010,Pectin lyase-like superfamily protein(AT3G07010),AT3G07010
AT3G07020,UDP-Glycosyltransferase superfamily protein(SGT),SGT
AT3G07030,Alba DNA/RNA-binding protein(AT3G07030),AT3G07030
AT3G07040,NB-ARC domain-containing disease resistance protein(RPM1),RPM1
AT3G07050,GTP-binding family protein(NSN1),NSN1
AT3G07060,NHL domain-containing protein(emb1974),emb1974
AT3G07070,Protein kinase superfamily protein(AT3G07070),AT3G07070
AT3G07080,EamA-like transporter family(AT3G07080),AT3G07080
AT3G07090,PPPDE putative thiol peptidase family protein(AT3G07090),AT3G07090
AT3G07100,Sec23/Sec24 protein transport family protein(ERMO2),ERMO2
AT3G07110,Ribosomal protein L13 family protein(AT3G07110),AT3G07110
AT3G07120,RING/U-box superfamily protein(AT3G07120),AT3G07120
AT3G07130,purple acid phosphatase 15(PAP15),PAP15
AT3G07140,GPI transamidase component Gpi16 subunit family protein(AT3G07140),AT3G07140
AT3G07150,amino acid-ligase(AT3G07150),AT3G07150
AT3G07160,glucan synthase-like 10(GSL10),GSL10
AT3G07170,Sterile alpha motif (SAM) domain-containing protein(AT3G07170),AT3G07170
AT3G07180,GPI transamidase component PIG-S-like protein(AT3G07180),AT3G07180
AT3G07190,B-cell receptor-associated protein 31-like protein(AT3G07190),AT3G07190
AT3G07195,RPM1-interacting protein 4 (RIN4) family protein(AT3G07195),AT3G07195
AT3G07200,RING/U-box superfamily protein(AT3G07200),AT3G07200
AT3G07210,hypothetical protein(AT3G07210),AT3G07210
AT3G07215,ncRNA(AT3G07215),AT3G07215
AT3G07220,SMAD/FHA domain-containing protein(FHA2),FHA2
AT3G07230,wound-responsive protein-like protein(AT3G07230),AT3G07230
AT3G07250,RNA-binding (RRM-RBD-RNP motif) domain nuclear transport factor 2 family protein(AT3G07250),AT3G07250
AT3G07260,SMAD/FHA domain-containing protein(AT3G07260),AT3G07260
AT3G07270,GTP cyclohydrolase I(AT3G07270),AT3G07270
AT3G07273,hypothetical protein(AT3G07273),AT3G07273
AT3G07280,miscRNA(AT3G07280),AT3G07280
AT3G07290,Pentatricopeptide repeat (PPR) superfamily protein(AT3G07290),AT3G07290
AT3G07300,NagB/RpiA/CoA transferase-like superfamily protein(AT3G07300),AT3G07300
AT3G07310,"phosphoserine aminotransferase, putative (DUF760)(AT3G07310)",AT3G07310
AT3G07320,O-Glycosyl hydrolases family 17 protein(AT3G07320),AT3G07320
AT3G07330,Cellulose-synthase-like C6(CSLC6),CSLC6
AT3G07340,basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT3G07340),AT3G07340
AT3G07350,"sulfate/thiosulfate import ATP-binding protein, putative (DUF506)(AT3G07350)",AT3G07350
AT3G07360,plant U-box 9(PUB9),PUB9
AT3G07370,carboxyl terminus of HSC70-interacting protein(CHIP),CHIP
AT3G07380,glycosyltransferase family protein (DUF23)(AT3G07380),AT3G07380
AT3G07390,auxin-induced in root cultures-like protein(AIR12),AIR12
AT3G07400,lipase class 3 family protein(AT3G07400),AT3G07400
AT3G07410,RAB GTPase homolog A5B(RABA5b),RABA5b
AT3G07420,asparaginyl-tRNA synthetase 2(NS2),NS2
AT3G07425,transmembrane protein(AT3G07425),AT3G07425
AT3G07430,YGGT family protein(YLMG1-1),YLMG1-1
AT3G07440,hypothetical protein(AT3G07440),AT3G07440
AT3G07450,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT3G07450),AT3G07450
AT3G07460,"transmembrane protein, putative (Protein of unknown function, DUF538)(AT3G07460)",AT3G07460
AT3G07470,"transmembrane protein, putative (Protein of unknown function, DUF538)(AT3G07470)",AT3G07470
AT3G07480,2Fe-2S ferredoxin-like superfamily protein(AT3G07480),AT3G07480
AT3G07490,ARF-GAP domain 11(AGD11),AGD11
AT3G07500,Far-red impaired responsive (FAR1) family protein(AT3G07500),AT3G07500
AT3G07510,maternal effect embryo arrest protein(AT3G07510),AT3G07510
AT3G07520,glutamate receptor 1.4(GLR1.4),GLR1.4
AT3G07525,autophagocytosis-associated family protein(ATG10),ATG10
AT3G07530,integrator complex subunit(AT3G07530),AT3G07530
AT3G07540,Actin-binding FH2 (formin homology 2) family protein(AT3G07540),AT3G07540
AT3G07550,RNI-like superfamily protein(AT3G07550),AT3G07550
AT3G07560,peroxin 13(PEX13),PEX13
AT3G07565,histone H2A deubiquitinase (DUF3755)(AT3G07565),AT3G07565
AT3G07568,fanconi anemia group D2 protein(AT3G07568),AT3G07568
AT3G07570,Cytochrome b561/ferric reductase transmembrane with DOMON related domain-containing protein(AT3G07570),AT3G07570
AT3G07580,hypothetical protein(AT3G07580),AT3G07580
AT3G07590,Small nuclear ribonucleoprotein family protein(AT3G07590),AT3G07590
AT3G07600,Heavy metal transport/detoxification superfamily protein(AT3G07600),AT3G07600
AT3G07610,Transcription factor jumonji (jmjC) domain-containing protein(IBM1),IBM1
AT3G07620,glycosyltransferase(AT3G07620),AT3G07620
AT3G07630,arogenate dehydratase 2(ADT2),ADT2
AT3G07640,period circadian protein(AT3G07640),AT3G07640
AT3G07650,CONSTANS-like 9(COL9),COL9
AT3G07660,flocculation protein (DUF1296)(AT3G07660),AT3G07660
AT3G07670,Rubisco methyltransferase family protein(AT3G07670),AT3G07670
AT3G07680,emp24/gp25L/p24 family/GOLD family protein(p24beta2),p24beta2
AT3G07690,6-phosphogluconate dehydrogenase family protein(AT3G07690),AT3G07690
AT3G07700,Protein kinase superfamily protein(AT3G07700),AT3G07700
AT3G07720,Galactose oxidase/kelch repeat superfamily protein(AT3G07720),AT3G07720
AT3G07730,hypothetical protein(AT3G07730),AT3G07730
AT3G07740,ADA2 2A(ADA2A),ADA2A
AT3G07750,3'-5'-exoribonuclease family protein(AT3G07750),AT3G07750
AT3G07760,Sterile alpha motif (SAM) domain-containing protein(AT3G07760),AT3G07760
AT3G07770,HEAT SHOCK PROTEIN 89.1(Hsp89.1),Hsp89.1
AT3G07780,potyvirus VPg interacting protein (DUF1423)(OBE1),OBE1
AT3G07790,DGCR14-like protein(AT3G07790),AT3G07790
AT3G07800,Thymidine kinase(TK1a),TK1a
AT3G07810,RNA-binding (RRM/RBD/RNP motifs) family protein(AT3G07810),AT3G07810
AT3G07860,Ubiquitin-like superfamily protein(AT3G07860),AT3G07860
AT3G07870,F-box and associated interaction domains-containing protein(AT3G07870),AT3G07870
AT3G07880,Immunoglobulin E-set superfamily protein(SCN1),SCN1
AT3G07890,Ypt/Rab-GAP domain of gyp1p superfamily protein(AT3G07890),AT3G07890
AT3G07900,O-fucosyltransferase family protein(AT3G07900),AT3G07900
AT3G07910,reactive oxygen species modulator-like protein(AT3G07910),AT3G07910
AT3G07920,Translation initiation factor IF2/IF5(AT3G07920),AT3G07920
AT3G07930,DNA glycosylase superfamily protein(AT3G07930),AT3G07930
AT3G07940,Calcium-dependent ARF-type GTPase activating protein family(AT3G07940),AT3G07940
AT3G07950,rhomboid protein-like protein(AT3G07950),AT3G07950
AT3G07960,Phosphatidylinositol-4-phosphate 5-kinase family protein(PIP5K6),PIP5K6
AT3G07970,Pectin lyase-like superfamily protein(QRT2),QRT2
AT3G07980,mitogen-activated protein kinase kinase kinase 6(MAPKKK6),MAPKKK6
AT3G07990,serine carboxypeptidase-like 27(SCPL27),SCPL27
AT3G08000,RNA-binding (RRM/RBD/RNP motifs) family protein(AT3G08000),AT3G08000
AT3G08010,RNA binding protein(ATAB2),ATAB2
AT3G08020,PHD finger family protein(AT3G08020),AT3G08020
AT3G08030,"DNA-directed RNA polymerase subunit beta (Protein of unknown function, DUF642)(AT3G08030)",AT3G08030
AT3G08040,MATE efflux family protein(FRD3),FRD3
AT3G08490,delta-latroinsectotoxin-Lt1a protein(AT3G08490),AT3G08490
AT3G08500,myb domain protein 83(MYB83),MYB83
AT3G08505,zinc finger (CCCH-type/C3HC4-type RING finger) family protein(AT3G08505),AT3G08505
AT3G08510,phospholipase C 2(PLC2),PLC2
AT3G08520,Ribosomal protein L41 family(AT3G08520),AT3G08520
AT3G08530,"Clathrin, heavy chain(AT3G08530)",AT3G08530
AT3G08550,elongation defective 1 protein / ELD1 protein(KOB1),KOB1
AT3G08560,vacuolar H+-ATPase subunit E isoform 2(VHA-E2),VHA-E2
AT3G08570,Phototropic-responsive NPH3 family protein(AT3G08570),AT3G08570
AT3G08580,ADP/ATP carrier 1(AAC1),AAC1
AT3G08590,"Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent(iPGAM2)",iPGAM2
AT3G08600,"transmembrane protein, putative (DUF1191)(AT3G08600)",AT3G08600
AT3G08610,NADH dehydrogenase ubiquinone 1 alpha subcomplex subunit(AT3G08610),AT3G08610
AT3G08620,RNA-binding KH domain-containing protein(AT3G08620),AT3G08620
AT3G08630,alphavirus core family protein (DUF3411)(AT3G08630),AT3G08630
AT3G08640,alphavirus core family protein (DUF3411)(AT3G08640),AT3G08640
AT3G08650,ZIP metal ion transporter family(AT3G08650),AT3G08650
AT3G08660,Phototropic-responsive NPH3 family protein(AT3G08660),AT3G08660
AT3G08670,serine/arginine repetitive matrix-like protein(AT3G08670),AT3G08670
AT3G08680,Leucine-rich repeat protein kinase family protein(AT3G08680),AT3G08680
AT3G08690,ubiquitin-conjugating enzyme 11(UBC11),UBC11
AT3G08700,ubiquitin-conjugating enzyme 12(UBC12),UBC12
AT3G08710,thioredoxin H-type 9(TH9),TH9
AT3G08720,serine/threonine protein kinase 2(S6K2),S6K2
AT3G08730,protein-serine kinase 1(PK1),PK1
AT3G08740,elongation factor P (EF-P) family protein(AT3G08740),AT3G08740
AT3G08760,Protein kinase superfamily protein(ATSIK),ATSIK
AT3G08770,lipid transfer protein 6(LTP6),LTP6
AT3G08780,BRISC complex subunit Abro1-like protein(AT3G08780),AT3G08780
AT3G08800,ARM repeat superfamily protein(SIEL),SIEL
AT3G08810,Galactose oxidase/kelch repeat superfamily protein(AT3G08810),AT3G08810
AT3G08820,Pentatricopeptide repeat (PPR) superfamily protein(AT3G08820),AT3G08820
AT3G08840,D-alanine-D-alanine ligase family(AT3G08840),AT3G08840
AT3G08850,Regulatory-associated protein of TOR 1(RAPTOR1),RAPTOR1
AT3G08860,PYRIMIDINE 4(PYD4),PYD4
AT3G08870,Concanavalin A-like lectin protein kinase family protein(AT3G08870),AT3G08870
AT3G08880,plectin-like protein(AT3G08880),AT3G08880
AT3G08885,miscRNA(AT3G08885),AT3G08885
AT3G08890,"hypothetical protein (Protein of unknown function, DUF538)(AT3G08890)",AT3G08890
AT3G08900,reversibly glycosylated polypeptide 3(RGP3),RGP3
AT3G08910,DNAJ heat shock family protein(AT3G08910),AT3G08910
AT3G08920,Rhodanese/Cell cycle control phosphatase superfamily protein(AT3G08920),AT3G08920
AT3G08930,LMBR1-like membrane protein(AT3G08930),AT3G08930
AT3G08940,light harvesting complex photosystem II(LHCB4.2),LHCB4.2
AT3G08943,ARM repeat superfamily protein(AT3G08943),AT3G08943
AT3G08947,ARM repeat superfamily protein(AT3G08947),AT3G08947
AT3G08950,electron transport SCO1/SenC family protein(HCC1),HCC1
AT3G08960,ARM repeat superfamily protein(AT3G08960),AT3G08960
AT3G08970,DNAJ heat shock N-terminal domain-containing protein(ATERDJ3A),ATERDJ3A
AT3G08980,Peptidase S24/S26A/S26B/S26C family protein(AT3G08980),AT3G08980
AT3G08990,Yippee family putative zinc-binding protein(AT3G08990),AT3G08990
AT3G09000,proline-rich family protein(AT3G09000),AT3G09000
AT3G09010,Protein kinase superfamily protein(AT3G09010),AT3G09010
AT3G09020,"alpha 1,4-glycosyltransferase family protein(AT3G09020)",AT3G09020
AT3G09030,BTB/POZ domain-containing protein(AT3G09030),AT3G09030
AT3G09032,josephin-like protein(AT3G09032),AT3G09032
AT3G09035,Concanavalin A-like lectin family protein(AT3G09035),AT3G09035
AT3G09040,Pentatricopeptide repeat (PPR) superfamily protein(AT3G09040),AT3G09040
AT3G09050,8-amino-7-oxononanoate synthase(AT3G09050),AT3G09050
AT3G09060,Pentatricopeptide repeat (PPR) superfamily protein(AT3G09060),AT3G09060
AT3G09070,"LOW protein: UPF0503-like protein, putative (DUF740)(OPS)",OPS
AT3G09080,Transducin/WD40 repeat-like superfamily protein(AT3G09080),AT3G09080
AT3G09085,transmembrane protein (DUF962)(AT3G09085),AT3G09085
AT3G09090,defective in exine formation protein (DEX1)(DEX1),DEX1
AT3G09100,mRNA capping enzyme family protein(AT3G09100),AT3G09100
AT3G09120,hypothetical protein (DUF674)(AT3G09120),AT3G09120
AT3G09150,"phytochromobilin:ferredoxin oxidoreductase, chloroplast / phytochromobilin synthase (HY2)(HY2)",HY2
AT3G09160,RNA-binding (RRM/RBD/RNP motifs) family protein(AT3G09160),AT3G09160
AT3G09162,hypothetical protein(AT3G09162),AT3G09162
AT3G09180,mediator of RNA polymerase II transcription subunit(AT3G09180),AT3G09180
