"gene","Dittberner_moleco18_Delta_13C_rs","Dittberner_moleco18_Delta_13C_P_val","annotation","symbol"
"AT2G37130",0.028,0.79,"Peroxidase superfamily protein(AT2G37130)","AT2G37130"
"AT2G37820",0.028,0.8,"Cysteine/Histidine-rich C1 domain family protein(AT2G37820)","AT2G37820"
"AT2G40510",0.028,0.79,"Ribosomal protein S26e family protein(AT2G40510)","AT2G40510"
"AT2G40600",0.028,0.8,"appr-1-p processing enzyme family protein(AT2G40600)","AT2G40600"
"AT2G43540",0.028,0.79,"transmembrane protein(AT2G43540)","AT2G43540"
"AT2G44383",0.028,0.79,"miscRNA(AT2G44383)","AT2G44383"
"AT2G46180",0.028,0.8,"golgin Putative 4(GC4)","GC4"
"AT2G47350",0.028,0.79,"HIT zinc finger and PAPA-1-like domain-containing protein(AT2G47350)","AT2G47350"
"AT2G47930",0.028,0.79,"arabinogalactan protein 26(AGP26)","AGP26"
"AT3G01430",0.028,0.79,"NHL domain protein(AT3G01430)","AT3G01430"
"AT3G03810",0.028,0.79,"O-fucosyltransferase family protein(EDA30)","EDA30"
"AT3G04710",0.028,0.79,"ankyrin repeat family protein(TPR10)","TPR10"
"AT3G07070",0.028,0.79,"Protein kinase superfamily protein(AT3G07070)","AT3G07070"
"AT3G14067",0.028,0.8,"Subtilase family protein(AT3G14067)","AT3G14067"
"AT3G14470",0.028,0.8,"NB-ARC domain-containing disease resistance protein(AT3G14470)","AT3G14470"
"AT3G15220",0.028,0.8,"Protein kinase superfamily protein(AT3G15220)","AT3G15220"
"AT3G15680",0.028,0.8,"Ran BP2/NZF zinc finger-like superfamily protein(AT3G15680)","AT3G15680"
"AT3G17630",0.028,0.8,"cation/H+ exchanger 19(CHX19)","CHX19"
"AT3G17712",0.028,0.79,"hypothetical protein(AT3G17712)","AT3G17712"
"AT3G21010",0.028,0.79,"hypothetical protein(AT3G21010)","AT3G21010"
"AT3G27473",0.028,0.8,"Cysteine/Histidine-rich C1 domain family protein(AT3G27473)","AT3G27473"
"AT3G28360",0.028,0.8,"P-glycoprotein 16(ABCB16)","ABCB16"
"AT3G46550",0.028,0.8,"Fasciclin-like arabinogalactan family protein(SOS5)","SOS5"
"AT3G46740",0.028,0.79,"translocon at the outer envelope membrane of chloroplasts 75-III(TOC75-III)","TOC75-III"
"AT3G53480",0.028,0.8,"pleiotropic drug resistance 9(ABCG37)","ABCG37"
"AT3G56820",0.028,0.8,"RmlC-type cupin(AT3G56820)","AT3G56820"
"AT3G62500",0.028,0.79,"F-box protein RMF(AT3G62500)","AT3G62500"
"AT4G18197",0.028,0.8,"purine permease 7(PUP7)","PUP7"
"AT4G19160",0.028,0.8,"transglutaminase family protein(AT4G19160)","AT4G19160"
"AT4G20190",0.028,0.8,"hypothetical protein(AT4G20190)","AT4G20190"
"AT4G32445",0.028,0.79,"ncRNA(MIR419)","MIR419"
"AT4G34410",0.028,0.8,"redox responsive transcription factor 1(RRTF1)","RRTF1"
"AT4G36440",0.028,0.8,"G-protein coupled receptor(AT4G36440)","AT4G36440"
"AT4G36670",0.028,0.79,"Major facilitator superfamily protein(PMT6)","PMT6"
"AT4G37340",0.028,0.79,"cytochrome P450, family 81, subfamily D, polypeptide 3(CYP81D3)","CYP81D3"
"AT4G39670",0.028,0.8,"Glycolipid transfer protein (GLTP) family protein(AT4G39670)","AT4G39670"
"AT4G40030",0.028,0.79,"Histone superfamily protein(AT4G40030)","AT4G40030"
"AT5G17840",0.028,0.8,"DnaJ/Hsp40 cysteine-rich domain superfamily protein(AT5G17840)","AT5G17840"
"AT5G20540",0.028,0.8,"BREVIS RADIX-like 4(BRXL4)","BRXL4"
"AT5G24180",0.028,0.8,"Lipase class 3-related protein(AT5G24180)","AT5G24180"
"AT5G25840",0.028,0.8,"DUF1677 family protein (DUF1677)(AT5G25840)","AT5G25840"
"AT5G28310",0.028,0.8,"NAD(P)-binding Rossmann-fold superfamily protein(AT5G28310)","AT5G28310"
"AT5G36100",0.028,0.8,"transmembrane protein(AT5G36100)","AT5G36100"
"AT5G40200",0.028,0.8,"DegP protease 9(DEG9)","DEG9"
"AT5G45020",0.028,0.8,"Glutathione S-transferase family protein(AT5G45020)","AT5G45020"
"AT5G48590",0.028,0.79,"phosphoserine aminotransferase, putative (DUF760)(AT5G48590)","AT5G48590"
"AT5G60340",0.028,0.79,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(AAK6)","AAK6"
"AT5G63690",0.028,0.8,"Nucleic acid-binding, OB-fold-like protein(AT5G63690)","AT5G63690"
"ATCG00460",0.028,0.79,"TRNM","TRNM"
"AT1G01090",0.027,0.8,"pyruvate dehydrogenase E1 alpha(PDH-E1 ALPHA)","PDH-E1 ALPHA"
"AT1G07901",0.027,0.81,"hypothetical protein(AT1G07901)","AT1G07901"
"AT1G15405",0.027,0.8,"ncRNA(AT1G15405)","AT1G15405"
"AT1G20430",0.027,0.81,"hypothetical protein(AT1G20430)","AT1G20430"
"AT1G20640",0.027,0.81,"Plant regulator RWP-RK family protein(AT1G20640)","AT1G20640"
"AT1G22380",0.027,0.81,"UDP-glucosyl transferase 85A3(UGT85A3)","UGT85A3"
"AT1G24350",0.027,0.8,"Acid phosphatase/vanadium-dependent haloperoxidase-related protein(AT1G24350)","AT1G24350"
"AT1G26558",0.027,0.8,"ncRNA(AT1G26558)","AT1G26558"
"AT1G32180",0.027,0.8,"cellulose synthase-like D6(CSLD6)","CSLD6"
"AT1G32730",0.027,0.81,"electron carrier/iron ion-binding protein(AT1G32730)","AT1G32730"
"AT1G33840",0.027,0.8,"LURP-one-like protein (DUF567)(AT1G33840)","AT1G33840"
"AT1G34315",0.027,0.8,"transmembrane protein(AT1G34315)","AT1G34315"
"AT1G47230",0.027,0.81,"CYCLIN A3;4(CYCA3;4)","CYCA3;4"
"AT1G48175",0.027,0.8,"Cytidine/deoxycytidylate deaminase family protein(emb2191)","emb2191"
"AT1G48510",0.027,0.8,"Surfeit locus 1 cytochrome c oxidase biogenesis protein(AT1G48510)","AT1G48510"
"AT1G53050",0.027,0.81,"Protein kinase superfamily protein(AT1G53050)","AT1G53050"
"AT1G54840",0.027,0.8,"HSP20-like chaperones superfamily protein(AT1G54840)","AT1G54840"
"AT1G59640",0.027,0.8,"transcription factor BIG PETAL P (BPE)(BPEp)","BPEp"
"AT1G63910",0.027,0.81,"myb domain protein 103(AtMYB103)","AtMYB103"
"AT1G64640",0.027,0.81,"early nodulin-like protein 8(ENODL8)","ENODL8"
"AT1G69295",0.027,0.81,"plasmodesmata callose-binding protein 4(PDCB4)","PDCB4"
"AT1G70140",0.027,0.8,"formin 8(FH8)","FH8"
"AT1G78680",0.027,0.8,"gamma-glutamyl hydrolase 2(GGH2)","GGH2"
"AT1G80750",0.027,0.81,"Ribosomal protein L30/L7 family protein(AT1G80750)","AT1G80750"
"AT2G18465",0.027,0.81,"Chaperone DnaJ-domain superfamily protein(AT2G18465)","AT2G18465"
"AT2G19530",0.027,0.81,"transmembrane protein(AT2G19530)","AT2G19530"
"AT2G23880",0.027,0.8,"hypothetical protein(AT2G23880)","AT2G23880"
"AT2G24540",0.027,0.8,"Galactose oxidase/kelch repeat superfamily protein(AFR)","AFR"
"AT2G28540",0.027,0.8,"RNA binding (RRM/RBD/RNP motifs) family protein(AT2G28540)","AT2G28540"
"AT2G29210",0.027,0.81,"splicing factor PWI domain-containing protein(AT2G29210)","AT2G29210"
"AT2G30615",0.027,0.8,"F-box/LRR protein(AT2G30615)","AT2G30615"
"AT2G32750",0.027,0.8,"Exostosin family protein(AT2G32750)","AT2G32750"
"AT2G33130",0.027,0.8,"ralf-like 18(RALFL18)","RALFL18"
"AT2G34520",0.027,0.8,"mitochondrial ribosomal protein S14(RPS14)","RPS14"
"AT2G38530",0.027,0.8,"lipid transfer protein 2(LTP2)","LTP2"
"AT2G43010",0.027,0.8,"phytochrome interacting factor 4(PIF4)","PIF4"
"AT2G44990",0.027,0.8,"carotenoid cleavage dioxygenase 7(CCD7)","CCD7"
"AT3G03660",0.027,0.8,"WUSCHEL related homeobox 11(WOX11)","WOX11"
"AT3G05415",0.027,0.81,"hypothetical protein(AT3G05415)","AT3G05415"
"AT3G07880",0.027,0.8,"Immunoglobulin E-set superfamily protein(SCN1)","SCN1"
"AT3G08900",0.027,0.8,"reversibly glycosylated polypeptide 3(RGP3)","RGP3"
"AT3G09480",0.027,0.8,"Histone superfamily protein(AT3G09480)","AT3G09480"
"AT3G12510",0.027,0.8,"MADS-box family protein(AT3G12510)","AT3G12510"
"AT3G13210",0.027,0.8,"crooked neck protein, putative / cell cycle protein(AT3G13210)","AT3G13210"
"AT3G14720",0.027,0.81,"MAP kinase 19(MPK19)","MPK19"
"AT3G18430",0.027,0.8,"Calcium-binding EF-hand family protein(AT3G18430)","AT3G18430"
"AT3G21770",0.027,0.8,"Peroxidase superfamily protein(AT3G21770)","AT3G21770"
"AT3G28060",0.027,0.8,"Nodulin MtN21 /EamA-like transporter family protein(UMAMIT43-psi)","UMAMIT43-psi"
"AT3G43350",0.027,0.8,"hypothetical protein(AT3G43350)","AT3G43350"
"AT3G44765",0.027,0.8,"ncRNA(AT3G44765)","AT3G44765"
"AT3G49780",0.027,0.8,"phytosulfokine 4 precursor(PSK4)","PSK4"
"AT3G50930",0.027,0.8,"cytochrome BC1 synthesi(BCS1)","BCS1"
"AT3G54060",0.027,0.81,"myosin-M heavy protein(AT3G54060)","AT3G54060"
"AT3G54080",0.027,0.8,"Concanavalin A-like lectin family protein(AT3G54080)","AT3G54080"
"AT3G61040",0.027,0.8,"cytochrome P450, family 76, subfamily C, polypeptide 7(CYP76C7)","CYP76C7"
"AT4G00780",0.027,0.8,"TRAF-like family protein(AT4G00780)","AT4G00780"
"AT4G13330",0.027,0.8,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT4G13330)","AT4G13330"
"AT4G21880",0.027,0.8,"Pentatricopeptide repeat (PPR) superfamily protein(AT4G21880)","AT4G21880"
"AT4G24310",0.027,0.8,"transmembrane protein, putative (DUF679)(AT4G24310)","AT4G24310"
"AT4G33240",0.027,0.8,"1-phosphatidylinositol-3-phosphate 5-kinase FAB1A(FAB1A)","FAB1A"
"AT4G34280",0.027,0.8,"transducin family protein / WD-40 repeat family protein(AT4G34280)","AT4G34280"
"AT4G37000",0.027,0.8,"accelerated cell death 2 (ACD2)(ACD2)","ACD2"
"AT5G03770",0.027,0.81,"KDO transferase A(KDTA)","KDTA"
"AT5G04238",0.027,0.8,"hypothetical protein(AT5G04238)","AT5G04238"
"AT5G14340",0.027,0.8,"myb domain protein 40(MYB40)","MYB40"
"AT5G14490",0.027,0.8,"NAC domain containing protein 85(NAC085)","NAC085"
"AT5G16190",0.027,0.81,"cellulose synthase like A11(CSLA11)","CSLA11"
"AT5G19820",0.027,0.8,"ARM repeat superfamily protein(emb2734)","emb2734"
"AT5G19900",0.027,0.8,"PRLI-interacting factor(AT5G19900)","AT5G19900"
"AT5G24850",0.027,0.8,"cryptochrome 3(CRY3)","CRY3"
"AT5G33207",0.027,0.8,"hypothetical protein(AT5G33207)","AT5G33207"
"AT5G36130",0.027,0.8,"Cytochrome P450 superfamily protein(AT5G36130)","AT5G36130"
"AT5G37180",0.027,0.81,"sucrose synthase 5(SUS5)","SUS5"
"AT5G39800",0.027,0.8,"Mitochondrial ribosomal protein L27(AT5G39800)","AT5G39800"
"AT5G40450",0.027,0.8,"A-kinase anchor-like protein(AT5G40450)","AT5G40450"
"AT5G41170",0.027,0.81,"Pentatricopeptide repeat (PPR-like) superfamily protein(AT5G41170)","AT5G41170"
"AT5G41540",0.027,0.8,"Disease resistance protein (TIR-NBS-LRR class) family(AT5G41540)","AT5G41540"
"AT5G41700",0.027,0.8,"ubiquitin conjugating enzyme 8(UBC8)","UBC8"
"AT5G50090",0.027,0.8,"D-ribose-binding periplasmic protein(AT5G50090)","AT5G50090"
"AT5G55660",0.027,0.8,"DEK domain-containing chromatin associated protein(AT5G55660)","AT5G55660"
"ATCG01060",0.027,0.8,"PSAC","PSAC"
"ATMG00580",0.027,0.81,"NAD4","NAD4"
"AT1G05840",0.026,0.81,"Eukaryotic aspartyl protease family protein(AT1G05840)","AT1G05840"
"AT1G07840",0.026,0.81,"Sas10/Utp3/C1D family(AT1G07840)","AT1G07840"
"AT1G10700",0.026,0.81,"phosphoribosyl pyrophosphate (PRPP) synthase 3(PRS3)","PRS3"
"AT1G13590",0.026,0.81,"phytosulfokine 1 precursor(PSK1)","PSK1"
"AT1G15270",0.026,0.81,"Translation machinery associated TMA7(AT1G15270)","AT1G15270"
"AT1G19560",0.026,0.81,"miscRNA(AT1G19560)","AT1G19560"
"AT1G19900",0.026,0.81,"glyoxal oxidase-related protein(AT1G19900)","AT1G19900"
"AT1G30590",0.026,0.81,"RNA polymerase I specific transcription initiation factor RRN3 protein(AT1G30590)","AT1G30590"
"AT1G34210",0.026,0.81,"somatic embryogenesis receptor-like kinase 2(SERK2)","SERK2"
"AT1G36960",0.026,0.81,"hypothetical protein(AT1G36960)","AT1G36960"
"AT1G45240",0.026,0.81,"tRNA(AT1G45240)","AT1G45240"
"AT1G62330",0.026,0.81,"O-fucosyltransferase family protein(AT1G62330)","AT1G62330"
"AT1G62460",0.026,0.81,"hypothetical protein(AT1G62460)","AT1G62460"
"AT1G64560",0.026,0.81,"miscRNA(AT1G64560)","AT1G64560"
"AT1G65485",0.026,0.81,"hypothetical protein(AT1G65485)","AT1G65485"
"AT1G67020",0.026,0.81,"transmembrane protein(AT1G67020)","AT1G67020"
"AT1G69230",0.026,0.81,"SPIRAL1-like2(SP1L2)","SP1L2"
"AT1G75220",0.026,0.81,"Major facilitator superfamily protein(ERDL6)","ERDL6"
"AT1G76070",0.026,0.81,"hypothetical protein(AT1G76070)","AT1G76070"
"AT1G78490",0.026,0.81,"cytochrome P450, family 708, subfamily A, polypeptide 3(CYP708A3)","CYP708A3"
"AT1G78910",0.026,0.81,"Pseudouridine synthase family protein(AT1G78910)","AT1G78910"
"AT1G79000",0.026,0.81,"histone acetyltransferase of the CBP family 1(HAC1)","HAC1"
"AT1G79850",0.026,0.81,"ribosomal protein S17(RPS17)","RPS17"
"AT1G79880",0.026,0.81,"RNA recognition motif (RRM)-containing protein(La2)","La2"
"AT2G06670",0.026,0.81,"hypothetical protein(AT2G06670)","AT2G06670"
"AT2G14820",0.026,0.81,"Phototropic-responsive NPH3 family protein(NPY2)","NPY2"
"AT2G15300",0.026,0.81,"Leucine-rich repeat protein kinase family protein(AT2G15300)","AT2G15300"
"AT2G18740",0.026,0.81,"Small nuclear ribonucleoprotein family protein(AT2G18740)","AT2G18740"
"AT2G19440",0.026,0.81,"O-Glycosyl hydrolases family 17 protein(AT2G19440)","AT2G19440"
"AT2G29995",0.026,0.81,"PSY3-like protein(AT2G29995)","AT2G29995"
"AT2G30210",0.026,0.81,"laccase 3(LAC3)","LAC3"
"AT2G31660",0.026,0.81,"ARM repeat superfamily protein(SAD2)","SAD2"
"AT2G34940",0.026,0.81,"VACUOLAR SORTING RECEPTOR 5(VSR5)","VSR5"
"AT2G45350",0.026,0.81,"Pentatricopeptide repeat (PPR) superfamily protein(CRR4)","CRR4"
"AT2G46300",0.026,0.81,"Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family(AT2G46300)","AT2G46300"
"AT3G04445",0.026,0.81,"miscRNA(AT3G04445)","AT3G04445"
"AT3G09690",0.026,0.81,"alpha/beta-Hydrolases superfamily protein(AT3G09690)","AT3G09690"
"AT3G13920",0.026,0.81,"eukaryotic translation initiation factor 4A1(EIF4A1)","EIF4A1"
"AT3G16650",0.026,0.81,"Transducin/WD40 repeat-like superfamily protein(AT3G16650)","AT3G16650"
"AT3G17160",0.026,0.81,"hypothetical protein(AT3G17160)","AT3G17160"
"AT3G17460",0.026,0.81,"PHD finger family protein(AT3G17460)","AT3G17460"
"AT3G20360",0.026,0.81,"TRAF-like family protein(AT3G20360)","AT3G20360"
"AT3G24450",0.026,0.81,"Heavy metal transport/detoxification superfamily protein(AT3G24450)","AT3G24450"
"AT3G25410",0.026,0.81,"Sodium Bile acid symporter family(AT3G25410)","AT3G25410"
"AT3G29000",0.026,0.81,"Calcium-binding EF-hand family protein(AT3G29000)","AT3G29000"
"AT3G44430",0.026,0.81,"transmembrane protein(AT3G44430)","AT3G44430"
"AT3G48480",0.026,0.81,"Cysteine proteinases superfamily protein(AT3G48480)","AT3G48480"
"AT3G54040",0.026,0.81,"PAR1 protein(AT3G54040)","AT3G54040"
"AT3G54740",0.026,0.81,"zein-binding protein (Protein of unknown function, DUF593)(AT3G54740)","AT3G54740"
"AT3G56430",0.026,0.81,"import inner membrane translocase subunit(AT3G56430)","AT3G56430"
"AT3G57410",0.026,0.81,"villin 3(VLN3)","VLN3"
"AT3G58160",0.026,0.81,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(XIJ)","XIJ"
"AT3G61640",0.026,0.81,"arabinogalactan protein 20(AGP20)","AGP20"
"AT4G00830",0.026,0.81,"RNA-binding (RRM/RBD/RNP motifs) family protein(LIF2)","LIF2"
"AT4G02410",0.026,0.81,"Concanavalin A-like lectin protein kinase family protein(AT4G02410)","AT4G02410"
"AT4G02500",0.026,0.81,"UDP-xylosyltransferase 2(XT2)","XT2"
"AT4G03570",0.026,0.81,"Cystatin/monellin superfamily protein(AT4G03570)","AT4G03570"
"AT4G08091",0.026,0.81,"hypothetical protein(AT4G08091)","AT4G08091"
"AT4G11210",0.026,0.81,"Disease resistance-responsive (dirigent-like protein) family protein(AT4G11210)","AT4G11210"
"AT4G11950",0.026,0.81,"transmembrane protein, putative (DUF1191)(AT4G11950)","AT4G11950"
"AT4G12130",0.026,0.81,"Glycine cleavage T-protein family(AT4G12130)","AT4G12130"
"AT4G12450",0.026,0.81,"zinc finger (C2H2 type) family protein(AT4G12450)","AT4G12450"
"AT4G13400",0.026,0.81,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT4G13400)","AT4G13400"
"AT4G18050",0.026,0.81,"P-glycoprotein 9(ABCB9)","ABCB9"
"AT4G26890",0.026,0.81,"mitogen-activated protein kinase kinase kinase 16(MAPKKK16)","MAPKKK16"
"AT4G30410",0.026,0.81,"sequence-specific DNA binding transcription factor(AT4G30410)","AT4G30410"
"AT4G31877",0.026,0.81,"ncRNA(MIR156c)","MIR156c"
"AT4G38225",0.026,0.81,"glycerol kinase(AT4G38225)","AT4G38225"
"AT5G09910",0.026,0.81,"Ras-related small GTP-binding family protein(AT5G09910)","AT5G09910"
"AT5G13210",0.026,0.81,"Uncharacterized conserved protein UCP015417, vWA(AT5G13210)","AT5G13210"
"AT5G15520",0.026,0.81,"Ribosomal protein S19e family protein(AT5G15520)","AT5G15520"
"AT5G15995",0.026,0.81,"hypothetical protein(AT5G15995)","AT5G15995"
"AT5G19990",0.026,0.81,"regulatory particle triple-A ATPase 6A(RPT6A)","RPT6A"
"AT5G22890",0.026,0.81,"C2H2 and C2HC zinc fingers superfamily protein(AT5G22890)","AT5G22890"
"AT5G23420",0.026,0.81,"high-mobility group box 6(HMGB6)","HMGB6"
"AT5G25415",0.026,0.81,"hypothetical protein (DUF239)(AT5G25415)","AT5G25415"
"AT5G25940",0.026,0.81,"early nodulin-like protein(AT5G25940)","AT5G25940"
"AT5G36870",0.026,0.81,"glucan synthase-like 9(GSL09)","GSL09"
"AT5G42965",0.026,0.81,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein(AT5G42965)","AT5G42965"
"AT5G47470",0.026,0.81,"Nodulin MtN21 /EamA-like transporter family protein(UMAMIT7)","UMAMIT7"
"AT5G53800",0.026,0.81,"nucleic acid-binding protein(AT5G53800)","AT5G53800"
"AT5G55610",0.026,0.81,"isopentenyl-diphosphate delta-isomerase(AT5G55610)","AT5G55610"
"AT5G64100",0.026,0.81,"Peroxidase superfamily protein(AT5G64100)","AT5G64100"
"AT5G66980",0.026,0.81,"AP2/B3-like transcriptional factor family protein(AT5G66980)","AT5G66980"
"ATMG00640",0.026,0.81,"ORF25","ORF25"
"ATMG01330",0.026,0.81,"ORF107H","ORF107H"
"AT1G02900",0.025,0.82,"rapid alkalinization factor 1(RALF1)","RALF1"
"AT1G03060",0.025,0.82,"BEACH-DOMAIN HOMOLOG A1(SPI)","SPI"
"AT1G08990",0.025,0.81,"plant glycogenin-like starch initiation protein 5(PGSIP5)","PGSIP5"
"AT1G15002",0.025,0.82,"ncRNA(AT1G15002)","AT1G15002"
"AT1G15910",0.025,0.81,"XH/XS domain-containing protein(FDM1)","FDM1"
"AT1G22500",0.025,0.82,"RING/U-box superfamily protein(ATL15)","ATL15"
"AT1G23180",0.025,0.82,"ARM repeat superfamily protein(AT1G23180)","AT1G23180"
"AT1G24050",0.025,0.82,"RNA-processing, Lsm domain-containing protein(AT1G24050)","AT1G24050"
"AT1G52050",0.025,0.82,"Mannose-binding lectin superfamily protein(AT1G52050)","AT1G52050"
"AT1G59990",0.025,0.82,"DEA(D/H)-box RNA helicase family protein(EMB3108)","EMB3108"
"AT1G73270",0.025,0.81,"serine carboxypeptidase-like 6(scpl6)","scpl6"
"AT1G75430",0.025,0.81,"BEL1-like homeodomain 11(BLH11)","BLH11"
"AT1G76780",0.025,0.81,"HSP20-like chaperones superfamily protein(AT1G76780)","AT1G76780"
"AT1G78500",0.025,0.82,"Terpenoid cyclases family protein(AT1G78500)","AT1G78500"
"AT2G10440",0.025,0.82,"mediator of RNA polymerase II transcription subunit(AT2G10440)","AT2G10440"
"AT2G14470",0.025,0.82,"hypothetical protein(AT2G14470)","AT2G14470"
"AT2G16485",0.025,0.81,"GW repeat- and PHD finger-containing protein NERD(NERD)","NERD"
"AT2G17265",0.025,0.81,"homoserine kinase(HSK)","HSK"
"AT2G24320",0.025,0.82,"alpha/beta-Hydrolases superfamily protein(AT2G24320)","AT2G24320"
"AT2G27630",0.025,0.82,"Ubiquitin carboxyl-terminal hydrolase-related protein(AT2G27630)","AT2G27630"
"AT2G29170",0.025,0.81,"NAD(P)-binding Rossmann-fold superfamily protein(AT2G29170)","AT2G29170"
"AT2G32880",0.025,0.81,"TRAF-like family protein(AT2G32880)","AT2G32880"
"AT2G40450",0.025,0.82,"BTB/POZ domain-containing protein(AT2G40450)","AT2G40450"
"AT2G42730",0.025,0.82,"F-box/FBD/LRR protein(AT2G42730)","AT2G42730"
"AT2G44581",0.025,0.82,"RING/U-box superfamily protein(AT2G44581)","AT2G44581"
"AT2G47050",0.025,0.82,"Plant invertase/pectin methylesterase inhibitor superfamily protein(AT2G47050)","AT2G47050"
"AT3G01330",0.025,0.81,"DP-E2F-like protein 3(DEL3)","DEL3"
"AT3G12540",0.025,0.82,"ternary complex factor MIP1 leucine-zipper protein (Protein of unknown function, DUF547)(AT3G12540)","AT3G12540"
"AT3G29360",0.025,0.82,"UDP-glucose 6-dehydrogenase family protein(UGD2)","UGD2"
"AT3G29635",0.025,0.82,"HXXXD-type acyl-transferase family protein(AT3G29635)","AT3G29635"
"AT3G44326",0.025,0.82,"F-box family protein(AT3G44326)","AT3G44326"
"AT3G55430",0.025,0.82,"O-Glycosyl hydrolases family 17 protein(AT3G55430)","AT3G55430"
"AT3G55710",0.025,0.82,"UDP-Glycosyltransferase superfamily protein(AT3G55710)","AT3G55710"
"AT3G55940",0.025,0.82,"Phosphoinositide-specific phospholipase C family protein(AT3G55940)","AT3G55940"
"AT3G56760",0.025,0.82,"Protein kinase superfamily protein(AT3G56760)","AT3G56760"
"AT3G57290",0.025,0.82,"eukaryotic translation initiation factor 3E(EIF3E)","EIF3E"
"AT3G58800",0.025,0.82,"secretion-regulating guanine nucleotide exchange factor(AT3G58800)","AT3G58800"
"AT3G59700",0.025,0.82,"lectin-receptor kinase(HLECRK)","HLECRK"
"AT3G63360",0.025,0.82,"defensin-like protein(AT3G63360)","AT3G63360"
"AT3G63430",0.025,0.81,"zinc finger CCCH domain protein(TRM5)","TRM5"
"AT4G00600",0.025,0.81,"Amino acid dehydrogenase family protein(AT4G00600)","AT4G00600"
"AT4G08867",0.025,0.82,"hypothetical protein(AT4G08867)","AT4G08867"
"AT4G15053",0.025,0.82,"NEP-interacting protein, putative (DUF239)(AT4G15053)","AT4G15053"
"AT4G27090",0.025,0.81,"Ribosomal protein L14(AT4G27090)","AT4G27090"
"AT4G27180",0.025,0.82,"kinesin 2(ATK2)","ATK2"
"AT4G29950",0.025,0.82,"Ypt/Rab-GAP domain of gyp1p superfamily protein(AT4G29950)","AT4G29950"
"AT4G30320",0.025,0.82,"CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein(AT4G30320)","AT4G30320"
"AT4G31270",0.025,0.81,"sequence-specific DNA binding transcription factor(AT4G31270)","AT4G31270"
"AT4G36900",0.025,0.82,"related to AP2 10(RAP2.10)","RAP2.10"
"AT5G02110",0.025,0.82,"CYCLIN D7;1(CYCD7;1)","CYCD7;1"
"AT5G04890",0.025,0.81,"HSP20-like chaperones superfamily protein(RTM2)","RTM2"
"AT5G06120",0.025,0.82,"ARM repeat superfamily protein(AT5G06120)","AT5G06120"
"AT5G10410",0.025,0.82,"ENTH/ANTH/VHS superfamily protein(AT5G10410)","AT5G10410"
"AT5G10760",0.025,0.82,"Eukaryotic aspartyl protease family protein(AT5G10760)","AT5G10760"
"AT5G15240",0.025,0.82,"Transmembrane amino acid transporter family protein(AT5G15240)","AT5G15240"
"AT5G16240",0.025,0.81,"Plant stearoyl-acyl-carrier-protein desaturase family protein(AT5G16240)","AT5G16240"
"AT5G16790",0.025,0.82,"Tho complex subunit 7/Mft1p(THO7)","THO7"
"AT5G18740",0.025,0.82,"hypothetical protein (DUF3444)(AT5G18740)","AT5G18740"
"AT5G40710",0.025,0.82,"zinc finger (C2H2 type) family protein(AT5G40710)","AT5G40710"
"AT5G42590",0.025,0.82,"cytochrome P450, family 71, subfamily A, polypeptide 16(CYP71A16)","CYP71A16"
"AT5G44800",0.025,0.81,"chromatin remodeling 4(CHR4)","CHR4"
"AT5G46390",0.025,0.82,"Peptidase S41 family protein(AT5G46390)","AT5G46390"
"AT5G50230",0.025,0.82,"Transducin/WD40 repeat-like superfamily protein(AT5G50230)","AT5G50230"
"AT5G53250",0.025,0.81,"arabinogalactan protein 22(AGP22)","AGP22"
"AT5G55000",0.025,0.82,"potassium channel tetramerization domain-containing protein / pentapeptide repeat-containing protein(FIP2)","FIP2"
"AT5G57900",0.025,0.81,"SKP1 interacting partner 1(SKIP1)","SKIP1"
"AT5G64050",0.025,0.82,"glutamate tRNA synthetase(ERS)","ERS"
"AT5G65800",0.025,0.82,"ACC synthase 5(ACS5)","ACS5"
"AT1G12570",0.024,0.82,"Glucose-methanol-choline (GMC) oxidoreductase family protein(AT1G12570)","AT1G12570"
"AT1G14455",0.024,0.82,"hypothetical protein(AT1G14455)","AT1G14455"
"AT1G14790",0.024,0.82,"RNA-dependent RNA polymerase 1(RDR1)","RDR1"
"AT1G20480",0.024,0.83,"AMP-dependent synthetase and ligase family protein(AT1G20480)","AT1G20480"
"AT1G23710",0.024,0.82,"hypothetical protein (DUF1645)(AT1G23710)","AT1G23710"
"AT1G29840",0.024,0.82,"alpha/beta-Hydrolases superfamily protein(AT1G29840)","AT1G29840"
"AT1G50055",0.024,0.82,"ncRNA(TAS1B)","TAS1B"
"AT1G65790",0.024,0.83,"receptor kinase 1(RK1)","RK1"
"AT1G66280",0.024,0.83,"Glycosyl hydrolase superfamily protein(BGLU22)","BGLU22"
"AT1G66860",0.024,0.82,"Class I glutamine amidotransferase-like superfamily protein(AT1G66860)","AT1G66860"
"AT1G67440",0.024,0.83,"Minichromosome maintenance (MCM2/3/5) family protein(emb1688)","emb1688"
