"","gene","accession_idsorted","SRTM_elevation","annotation","symbol"
"15993","AT4G14800",6970,-0.0027,"20S proteasome beta subunit D2(PBD2)","PBD2"
"21987","AT5G46240",9586,-0.0027,"1(KAT1)","KAT1"
"4660","AT1G64065",9531,-0.0028,"Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family(AT1G64065)","AT1G64065"
"5236","AT1G69960",9526,-0.0028,"serine/threonine protein phosphatase 2A(PP2A)","PP2A"
"6227","AT1G80270",9550,-0.0028,"PENTATRICOPEPTIDE REPEAT 596(PPR596)","PPR596"
"6836","AT2G12390",9533,-0.0028,"hypothetical protein(AT2G12390)","AT2G12390"
"9454","AT2G42130",9584,-0.0028,"Plastid-lipid associated protein PAP / fibrillin family protein(AT2G42130)","AT2G42130"
"9726","AT2G44850",9584,-0.0028,"hypothetical protein(AT2G44850)","AT2G44850"
"12178","AT3G22780",9598,-0.0028,"Tesmin/TSO1-like CXC domain-containing protein(TSO1)","TSO1"
"14551","AT3G60890",9587,-0.0028,"binding protein(ZPR2)","ZPR2"
"19269","AT5G09600",9568,-0.0028,"succinate dehydrogenase 3-1(SDH3-1)","SDH3-1"
"20854","AT5G27650",9524,-0.0028,"Tudor/PWWP/MBT superfamily protein(AT5G27650)","AT5G27650"
"2652","AT1G29800",9518,-0.0029,"RING/FYVE/PHD-type zinc finger family protein(AT1G29800)","AT1G29800"
"8165","AT2G28690",9567,-0.0029,"TOX high mobility group box protein, putative (DUF1635)(AT2G28690)","AT2G28690"
"9475","AT2G42340",9518,-0.0029,"hypothetical protein(AT2G42340)","AT2G42340"
"14306","AT3G57990",9543,-0.0029,"hypothetical protein(AT3G57990)","AT3G57990"
"15474","AT4G09150",9832,-0.0029,"T-complex protein 11(AT4G09150)","AT4G09150"
"19352","AT5G10380",9871,-0.0029,"RING/U-box superfamily protein(RING1)","RING1"
"19850","AT5G15920",9588,-0.0029,"structural maintenance of chromosomes 5(SMC5)","SMC5"
"2070","AT1G22250",9874,-0.003,"hypothetical protein(AT1G22250)","AT1G22250"
"2437","AT1G27385",9832,-0.003,"phosphoribosylformylglycinamidine synthase(AT1G27385)","AT1G27385"
"7414","AT2G20500",9543,-0.003,"hypothetical protein(AT2G20500)","AT2G20500"
"13177","AT3G46100",8357,-0.003,"Histidyl-tRNA synthetase 1(HRS1)","HRS1"
"16261","AT4G17210",9874,-0.003,"weak chloroplast movement under blue light protein (DUF827)(AT4G17210)","AT4G17210"
"8062","AT2G27540",9560,-0.0031,"F-box associated ubiquitination effector family protein(AT2G27540)","AT2G27540"
"13052","AT3G44490",9560,-0.0031,"histone deacetylase 17(hda17)","hda17"
"14199","AT3G56891",9522,-0.0031,"Heavy metal transport/detoxification superfamily protein(AT3G56891)","AT3G56891"
"23382","AT5G61370",9598,-0.0031,"Pentatricopeptide repeat (PPR) superfamily protein(AT5G61370)","AT5G61370"
"4716","AT1G64570",9871,-0.0032,"Homeodomain-like superfamily protein(DUO3)","DUO3"
"6215","AT1G80130",9905,-0.0032,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G80130)","AT1G80130"
"9493","AT2G42520",9598,-0.0032,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT2G42520)","AT2G42520"
"13661","AT3G51250",9547,-0.0032,"Senescence/dehydration-associated protein-like protein(AT3G51250)","AT3G51250"
"14346","AT3G58570",9568,-0.0032,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT3G58570)","AT3G58570"
"17735","AT4G32630",9547,-0.0032,"ArfGap/RecO-like zinc finger domain-containing protein(AT4G32630)","AT4G32630"
"19173","AT5G08240",9598,-0.0032,"transmembrane protein(AT5G08240)","AT5G08240"
"19950","AT5G16950",9586,-0.0032,"krueppel-like factor(AT5G16950)","AT5G16950"
"23204","AT5G59440",9557,-0.0032,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(ZEU1)","ZEU1"
"2999","AT1G34000",9547,-0.0033,"one-helix protein 2(OHP2)","OHP2"
"6798","AT2G10931",9522,-0.0033,"hypothetical protein(AT2G10931)","AT2G10931"
"10271","AT3G03150",9586,-0.0033,"hypothetical protein(AT3G03150)","AT3G03150"
"15292","AT4G04940",9557,-0.0033,"transducin family protein / WD-40 repeat family protein(AT4G04940)","AT4G04940"
"20000","AT5G17510",9905,-0.0033,"mediator of RNA polymerase II transcription subunit-like protein(AT5G17510)","AT5G17510"
"20965","AT5G29075",9568,-0.0033,"hypothetical protein(AT5G29075)","AT5G29075"
"8673","AT2G34240",9567,-0.0034,"ubiquitin carboxyl-terminal hydrolase-like protein, putative (Protein with domains of unknown function DUF627 and DUF632)(AT2G34240)","AT2G34240"
"14350","AT3G58610",9588,-0.0034,"ketol-acid reductoisomerase(AT3G58610)","AT3G58610"
"15126","AT4G02900",9584,-0.0034,"ERD (early-responsive to dehydration stress) family protein(AT4G02900)","AT4G02900"
"16611","AT4G21170",9533,-0.0034,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT4G21170)","AT4G21170"
"18372","AT4G39160",8357,-0.0034,"Homeodomain-like superfamily protein(AT4G39160)","AT4G39160"
"19089","AT5G07320",9524,-0.0034,"Mitochondrial substrate carrier family protein(APC3)","APC3"
"1488","AT1G15960",9845,-0.0035,"NRAMP metal ion transporter 6(NRAMP6)","NRAMP6"
"2936","AT1G33110",9568,-0.0035,"MATE efflux family protein(AT1G33110)","AT1G33110"
"6391","AT2G01970",9524,-0.0035,"Endomembrane protein 70 protein family(AT2G01970)","AT2G01970"
"18525","AT5G01500",9588,-0.0035,"thylakoid ATP/ADP carrier(TAAC)","TAAC"
"19153","AT5G08040",6970,-0.0035,"mitochondrial import receptor subunit TOM5-like protein(TOM5)","TOM5"
"20242","AT5G19940",9518,-0.0035,"Plastid-lipid associated protein PAP / fibrillin family protein(AT5G19940)","AT5G19940"
"1428","AT1G15340",6970,-0.0036,"methyl-CPG-binding domain 10(MBD10)","MBD10"
"4523","AT1G62630",9526,-0.0036,"Disease resistance protein (CC-NBS-LRR class) family(AT1G62630)","AT1G62630"
"7499","AT2G21250",9844,-0.0036,"NAD(P)-linked oxidoreductase superfamily protein(AT2G21250)","AT2G21250"
"10809","AT3G08910",9557,-0.0036,"DNAJ heat shock family protein(AT3G08910)","AT3G08910"
"18269","AT4G38092",6970,-0.0036,"exportin-4 protein(AT4G38092)","AT4G38092"
"21384","AT5G40100",9844,-0.0036,"Disease resistance protein (TIR-NBS-LRR class) family(AT5G40100)","AT5G40100"
"21958","AT5G45920",9601,-0.0036,"SGNH hydrolase-type esterase superfamily protein(AT5G45920)","AT5G45920"
"7319","AT2G19450",9584,-0.0037,"membrane bound O-acyl transferase (MBOAT) family protein(TAG1)","TAG1"
"17154","AT4G26660",9531,-0.0037,"kinesin-like protein(AT4G26660)","AT4G26660"
"971","AT1G10820",9593,-0.0038,"hypothetical protein (DUF3755)(AT1G10820)","AT1G10820"
"6690","AT2G05980",9880,-0.0038,"hypothetical protein(AT2G05980)","AT2G05980"
"9883","AT2G46450",9518,-0.0038,"cyclic nucleotide-gated channel 12(CNGC12)","CNGC12"
"10629","AT3G06660",6970,-0.0038,"PAPA-1-like family protein / zinc finger (HIT type) family protein(AT3G06660)","AT3G06660"
"14874","AT4G00600",6970,-0.0038,"Amino acid dehydrogenase family protein(AT4G00600)","AT4G00600"
"23938","AT5G67050",9905,-0.0038,"alpha/beta-Hydrolases superfamily protein(AT5G67050)","AT5G67050"
"24086","ATCG01040",9550,-0.0038,"YCF5","YCF5"
"1486","AT1G15940",9832,-0.0039,"Tudor/PWWP/MBT superfamily protein(AT1G15940)","AT1G15940"
"12963","AT3G43340",9844,-0.0039,"Pseudouridine synthase family protein(AT3G43340)","AT3G43340"
"14090","AT3G55734",9874,-0.0039,"ncRNA(MIR393b)","MIR393b"
"15065","AT4G02330",9601,-0.0039,"Plant invertase/pectin methylesterase inhibitor superfamily(ATPMEPCRB)","ATPMEPCRB"
"18227","AT4G37682",9845,-0.0039,"hypothetical protein (DUF1399)(AT4G37682)","AT4G37682"
"11184","AT3G12685",9560,-0.004,"Acid phosphatase/vanadium-dependent haloperoxidase-related protein(AT3G12685)","AT3G12685"
"13668","AT3G51320",9586,-0.004,"Pentatricopeptide repeat (PPR) superfamily protein(AT3G51320)","AT3G51320"
"16630","AT4G21370",9845,-0.004,"miscRNA(PSEUDOSRKA)","PSEUDOSRKA"
"22605","AT5G53070",9819,-0.004,"Ribosomal protein L9/RNase H1(AT5G53070)","AT5G53070"
"405","AT1G05090",9880,-0.0041,"dentin sialophosphoprotein-like protein(AT1G05090)","AT1G05090"
"506","AT1G06130",9874,-0.0041,"glyoxalase 2-4(GLX2-4)","GLX2-4"
"10474","AT3G05220",9584,-0.0041,"Heavy metal transport/detoxification superfamily protein(AT3G05220)","AT3G05220"
"10663","AT3G07000",6970,-0.0041,"Cysteine/Histidine-rich C1 domain family protein(AT3G07000)","AT3G07000"
"16641","AT4G21470",9522,-0.0041,"riboflavin kinase/FMN hydrolase(FMN/FHY)","FMN/FHY"
"22434","AT5G51174",9601,-0.0041,"ncRNA(SNOR30)","SNOR30"
"23503","AT5G62730",9526,-0.0041,"Major facilitator superfamily protein(AT5G62730)","AT5G62730"
"15041","AT4G02060",9880,-0.0042,"Minichromosome maintenance (MCM2/3/5) family protein(PRL)","PRL"
"18536","AT5G01600",9871,-0.0042,"ferretin 1(FER1)","FER1"
"23976","AT5G67411",9518,-0.0042,"GRAS family transcription factor(AT5G67411)","AT5G67411"
"4001","AT1G54930",9846,-0.0043,"GRF zinc finger / Zinc knuckle protein(AT1G54930)","AT1G54930"
"5142","AT1G68940",9567,-0.0043,"Armadillo/beta-catenin-like repeat family protein(AT1G68940)","AT1G68940"
"6451","AT2G02750",9874,-0.0043,"Pentatricopeptide repeat (PPR) superfamily protein(AT2G02750)","AT2G02750"
"9249","AT2G40090",9567,-0.0043,"ABC2 homolog 9(ATH9)","ATH9"
"9717","AT2G44750",9531,-0.0043,"thiamin pyrophosphokinase 2(TPK2)","TPK2"
"10065","AT3G01150",9568,-0.0043,"polypyrimidine tract-binding protein 1(PTB1)","PTB1"
"18633","AT5G02580",9832,-0.0043,"argininosuccinate lyase(AT5G02580)","AT5G02580"
"2476","AT1G27752",9874,-0.0044,"Ubiquitin system component Cue protein(AT1G27752)","AT1G27752"
"2815","AT1G31710",9871,-0.0044,"Copper amine oxidase family protein(AT1G31710)","AT1G31710"
"3009","AT1G34065",9593,-0.0044,"S-adenosylmethionine carrier 2(SAMC2)","SAMC2"
"5020","AT1G67785",9846,-0.0044,"hypothetical protein(AT1G67785)","AT1G67785"
"13548","AT3G50040",9905,-0.0044,"hypothetical protein(AT3G50040)","AT3G50040"
"16062","AT4G15393",8357,-0.0044,"cytochrome P450, family 702, subfamily A, polypeptide 5(CYP702A5)","CYP702A5"
"16203","AT4G16680",9531,-0.0044,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT4G16680)","AT4G16680"
"2821","AT1G31770",8357,-0.0045,"ATP-binding cassette 14(ABCG14)","ABCG14"
"3553","AT1G49880",9598,-0.0045,"Erv1/Alr family protein(Erv1)","Erv1"
"4480","AT1G62180",9874,-0.0045,"5'adenylylphosphosulfate reductase 2(APR2)","AtAPR2"
"5796","AT1G75810",9601,-0.0045,"transmembrane protein(AT1G75810)","AT1G75810"
"12356","AT3G24670",9855,-0.0045,"Pectin lyase-like superfamily protein(AT3G24670)","AT3G24670"
"14770","AT3G63120",9905,-0.0045,"cyclin p1;1(CYCP1;1)","CYCP1;1"
"16945","AT4G24500",8357,-0.0045,"hydroxyproline-rich glycoprotein family protein(SIC)","SIC"
"18495","AT5G01225",9819,-0.0045,"josephin-like protein(AT5G01225)","AT5G01225"
"3460","AT1G48745",9871,-0.0046,"hypothetical protein(AT1G48745)","AT1G48745"
"14297","AT3G57890",9944,-0.0046,"Tubulin binding cofactor C domain-containing protein(AT3G57890)","AT3G57890"
"15361","AT4G06746",9567,-0.0046,"related to AP2 9(RAP2.9)","RAP2.9"
"19420","AT5G11020",9871,-0.0046,"Protein kinase superfamily protein(AT5G11020)","AT5G11020"
"19694","AT5G14270",9880,-0.0046,"bromodomain and extraterminal domain protein 9(BET9)","BET9"
"4885","AT1G66400",9855,-0.0047,"calmodulin like 23(CML23)","CML23"
"5908","AT1G76965",9880,-0.0047,"hypothetical protein(AT1G76965)","AT1G76965"
"10343","AT3G03880",9598,-0.0047,"sterol O-acyltransferase, putative (DUF1639)(AT3G03880)","AT3G03880"
"19295","AT5G09860",9531,-0.0047,"nuclear matrix protein-like protein(THO1)","THO1"
"2009","AT1G21525",9522,-0.0048,"miscRNA(AT1G21525)","AT1G21525"
"2841","AT1G31930",9601,-0.0048,"extra-large GTP-binding protein 3(XLG3)","XLG3"
"2908","AT1G32750",9598,-0.0048,"HAC13 protein (HAC13)(HAF01)","HAF01"
"11352","AT3G14120",9550,-0.0048,"nuclear pore complex protein(AT3G14120)","AT3G14120"
"14900","AT4G00850",9845,-0.0048,"GRF1-interacting factor 3(GIF3)","GIF3"
"16224","AT4G16845",9846,-0.0048,"VEFS-Box of polycomb protein(VRN2)","VRN2"
"19092","AT5G07340",9533,-0.0048,"Calreticulin family protein(AT5G07340)","AT5G07340"
"21714","AT5G43580",9584,-0.0048,"Serine protease inhibitor, potato inhibitor I-type family protein(UPI)","UPI"
"132","AT1G02350",9874,-0.0049,"protoporphyrinogen oxidase-like protein(AT1G02350)","AT1G02350"
"7268","AT2G18800",9905,-0.0049,"xyloglucan endotransglucosylase/hydrolase 21(XTH21)","XTH21"
"12609","AT3G27340",9550,-0.0049,"Myb domain protein(AT3G27340)","AT3G27340"
"14449","AT3G59765",9584,-0.0049,"ncRNA(AT3G59765)","AT3G59765"
"22037","AT5G46780",9905,-0.0049,"VQ motif-containing protein(AT5G46780)","AT5G46780"
"1858","AT1G19840",9819,-0.005,"SAUR-like auxin-responsive protein family(AT1G19840)","AT1G19840"
"4530","AT1G62710",9560,-0.005,"beta vacuolar processing enzyme(BETA-VPE)","BETA-VPE"
"7037","AT2G16310",9526,-0.005,"miscRNA(AT2G16310)","AT2G16310"
"12402","AT3G25260",9531,-0.005,"Major facilitator superfamily protein(AT3G25260)","AT3G25260"
"13174","AT3G46060",9905,-0.005,"RAB GTPase homolog 8A(RABE1c)","RABE1c"
"13574","AT3G50330",9832,-0.005,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein(HEC2)","HEC2"
"16066","AT4G15415",9526,-0.005,"Protein phosphatase 2A regulatory B subunit family protein(ATB' GAMMA)","ATB' GAMMA"
"21121","AT5G36210",6970,-0.005,"alpha/beta-Hydrolases superfamily protein(AT5G36210)","AT5G36210"
"9515","AT2G42760",9543,-0.0051,"DUF1685 family protein(AT2G42760)","AT2G42760"
"15923","AT4G14210",9905,-0.0051,"phytoene desaturase 3(PDS3)","PDS3"
"17786","AT4G33140",9846,-0.0051,"Haloacid dehalogenase-like hydrolase (HAD) superfamily protein(AT4G33140)","AT4G33140"
"21888","AT5G45260",9593,-0.0051,"Disease resistance protein (TIR-NBS-LRR class)(RRS1)","RRS1"
"1757","AT1G18835",9825,-0.0052,"mini zinc finger(MIF3)","MIF3"
"3821","AT1G52910",9586,-0.0052,"fiber (DUF1218)(AT1G52910)","AT1G52910"
"4924","AT1G66840",9944,-0.0052,"PLASTID MOVEMENT IMPAIRED protein (DUF827)(PMI2)","PMI2"
"5629","AT1G74088",9832,-0.0052,"galacturonosyltransferase(AT1G74088)","AT1G74088"
"7254","AT2G18660",9588,-0.0052,"plant natriuretic peptide A(PNP-A)","PNP-A"
"7861","AT2G25440",9568,-0.0052,"receptor like protein 20(RLP20)","RLP20"
"10275","AT3G03190",9598,-0.0052,"glutathione S-transferase F11(GSTF11)","GSTF11"
"11535","AT3G15830",9825,-0.0052,"phosphatidic acid phosphatase-related / PAP2-like protein(AT3G15830)","AT3G15830"
"14898","AT4G00830",9832,-0.0052,"RNA-binding (RRM/RBD/RNP motifs) family protein(LIF2)","LIF2"
"16046","AT4G15248",9593,-0.0052,"B-box type zinc finger family protein(BBX30)","BBX30"
"18457","AT4G39980",9588,-0.0052,"3-deoxy-D-arabino-heptulosonate 7-phosphate synthase 1(DHS1)","DHS1"
"20792","AT5G26850",9550,-0.0052,"hypothetical protein(AT5G26850)","AT5G26850"
"595","AT1G07060",9587,-0.0053,"hypothetical protein(DFO)","DFO"
"6549","AT2G04030",9845,-0.0053,"Chaperone protein htpG family protein(CR88)","CR88"
"17950","AT4G34840",9601,-0.0053,"Phosphorylase superfamily protein(AT4G34840)","AT4G34840"
"22274","AT5G49230",9880,-0.0053,"Drought-responsive family protein(HRB1)","HRB1"
"2521","AT1G28290",9533,-0.0054,"arabinogalactan protein 31(AGP31)","AGP31"
"3732","AT1G51965",9871,-0.0054,"ABA Overly-Sensitive 5(ABO5)","ABO5"
"4627","AT1G63710",9533,-0.0054,"cytochrome P450, family 86, subfamily A, polypeptide 7(CYP86A7)","CYP86A7"
"4711","AT1G64540",9832,-0.0054,"F-box/FBD-like domains containing protein(AT1G64540)","AT1G64540"
"8288","AT2G30150",6970,-0.0054,"UDP-Glycosyltransferase superfamily protein(AT2G30150)","AT2G30150"
"10584","AT3G06240",9825,-0.0054,"F-box family protein(AT3G06240)","AT3G06240"
"13855","AT3G53320",9944,-0.0054,"mediator of RNA polymerase II transcription subunit-like protein(AT3G53320)","AT3G53320"
"15320","AT4G05200",9526,-0.0054,"cysteine-rich RLK (RECEPTOR-like protein kinase) 25(CRK25)","CRK25"
"19438","AT5G11240",9567,-0.0054,"transducin family protein / WD-40 repeat family protein(AT5G11240)","AT5G11240"
"10896","AT3G09770",9874,-0.0055,"RING/U-box superfamily protein(LOG2)","LOG2"
"11426","AT3G14810",9586,-0.0055,"mechanosensitive channel of small conductance-like 5(MSL5)","MSL5"
"15092","AT4G02570",9568,-0.0055,"cullin 1(CUL1)","CUL1"
"19258","AT5G09470",9522,-0.0055,"dicarboxylate carrier 3(DIC3)","DIC3"
"19916","AT5G16600",9586,-0.0055,"myb domain protein 43(MYB43)","MYB43"
"23117","AT5G58520",9845,-0.0055,"Protein kinase superfamily protein(AT5G58520)","AT5G58520"
"19759","AT5G14950",9855,-0.0056,"golgi alpha-mannosidase II(GMII)","GMII"
"22975","AT5G57123",9593,-0.0056,"hypothetical protein(AT5G57123)","AT5G57123"
"23003","AT5G57390",9568,-0.0056,"AINTEGUMENTA-like 5(AIL5)","AIL5"
"1641","AT1G17530",9547,-0.0057,"translocase of inner mitochondrial membrane 23(TIM23-1)","TIM23-1"
"7578","AT2G22250",9518,-0.0057,"aspartate aminotransferase(AAT)","AAT"
"9253","AT2G40113",9587,-0.0057,"Pollen Ole e 1 allergen and extensin family protein(AT2G40113)","AT2G40113"
"11169","AT3G12550",9880,-0.0057,"XH/XS domain-containing protein(FDM3)","FDM3"
"17495","AT4G30250",9533,-0.0057,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT4G30250)","AT4G30250"
"21736","AT5G43800",9522,-0.0057,"hypothetical protein(AT5G43800)","AT5G43800"
"22067","AT5G47120",9855,-0.0057,"BAX inhibitor 1(BI1)","BI1"
"23737","AT5G65140",8357,-0.0057,"Haloacid dehalogenase-like hydrolase (HAD) superfamily protein(TPPJ)","TPPJ"
"1523","AT1G16330",9846,-0.0058,"cyclin b3;1(CYCB3;1)","CYCB3;1"
"2786","AT1G31258",6970,-0.0058,"ncRNA(AT1G31258)","AT1G31258"
"9014","AT2G37680",9586,-0.0058,"glucose-induced degradation-like protein(AT2G37680)","AT2G37680"
"10598","AT3G06390",9522,-0.0058,"Uncharacterized protein family (UPF0497)(AT3G06390)","AT3G06390"
"11427","AT3G14830",9587,-0.0058,"epstein-barr nuclear antigen(AT3G14830)","AT3G14830"
"12877","AT3G31908",9531,-0.0058,"miscRNA(AT3G31908)","AT3G31908"
"22915","AT5G56500",9846,-0.0058,"TCP-1/cpn60 chaperonin family protein(Cpn60beta3)","Cpn60beta3"
"1166","AT1G12805",9550,-0.0059,"nucleotide binding protein(AT1G12805)","AT1G12805"
"9330","AT2G40850",9846,-0.0059,"phosphoinositide 4-kinase gamma 1(PI4K GAMMA 1)","PI4K GAMMA 1"
"15641","AT4G11240",9819,-0.0059,"Calcineurin-like metallo-phosphoesterase superfamily protein(TOPP7)","TOPP7"
"18188","AT4G37295",9601,-0.0059,"hypothetical protein(AT4G37295)","AT4G37295"
"20481","AT5G23230",9524,-0.0059,"nicotinamidase 2(NIC2)","NIC2"
"3896","AT1G53640",9825,-0.006,"transmembrane protein(AT1G53640)","AT1G53640"
"5329","AT1G70920",9874,-0.006,"homeobox-leucine zipper protein 18(HB18)","HB18"
"14630","AT3G61650",9855,-0.006,"gamma-tubulin(TUBG1)","TUBG1"
"16718","AT4G22190",9560,-0.006,"serine/arginine repetitive matrix-like protein(AT4G22190)","AT4G22190"
"2513","AT1G28200",9944,-0.0061,"FH interacting protein 1(FIP1)","FIP1"
"3900","AT1G53670",9846,-0.0061,"methionine sulfoxide reductase B 1(MSRB1)","MSRB1"
"6858","AT2G13290",9871,-0.0061,"beta-1,4-N-acetylglucosaminyltransferase family protein(AT2G13290)","AT2G13290"
"7063","AT2G16630",9880,-0.0061,"Pollen Ole e 1 allergen and extensin family protein(AT2G16630)","AT2G16630"
"9523","AT2G42850",9586,-0.0061,"cytochrome P450, family 718(CYP718)","CYP718"
"12067","AT3G21390",9557,-0.0061,"Mitochondrial substrate carrier family protein(AT3G21390)","AT3G21390"
"7264","AT2G18760",9855,-0.0062,"chromatin remodeling 8(CHR8)","CHR8"
"13179","AT3G46130",9522,-0.0062,"myb domain protein 48(MYB48)","MYB48"
"13530","AT3G49850",9568,-0.0062,"telomere repeat binding factor 3(TRB3)","TRB3"
"16961","AT4G24670",9587,-0.0062,"tryptophan aminotransferase related 2(TAR2)","TAR2"
"18288","AT4G38280",9593,-0.0062,"integral membrane hemolysin-III-like protein(AT4G38280)","AT4G38280"
"19814","AT5G15550",9586,-0.0062,"Transducin/WD40 repeat-like superfamily protein(AT5G15550)","AT5G15550"
"1799","AT1G19270",9880,-0.0063,"DA1(DA1)","DA1"
"2535","AT1G28420",9601,-0.0063,"homeobox-1(HB-1)","HB-1"
"19105","AT5G07500",9598,-0.0063,"Zinc finger C-x8-C-x5-C-x3-H type family protein(PEI1)","PEI1"
"19215","AT5G08600",9855,-0.0063,"U3 ribonucleoprotein (Utp) family protein(AT5G08600)","AT5G08600"
"12115","AT3G22060",9844,-0.0064,"Receptor-like protein kinase-related family protein(AT3G22060)","AT3G22060"
"19820","AT5G15640",9819,-0.0064,"Mitochondrial substrate carrier family protein(AT5G15640)","AT5G15640"
"23596","AT5G63760",9874,-0.0064,"RING/U-box superfamily protein(ARI15)","ARI15"
"529","AT1G06360",9593,-0.0065,"Fatty acid desaturase family protein(AT1G06360)","AT1G06360"
"1592","AT1G17090",9855,-0.0065,"transmembrane protein(AT1G17090)","AT1G17090"
"9705","AT2G44640",9855,-0.0065,"TRIGALACTOSYLDIACYLGLYCEROL-like protein(AT2G44640)","AT2G44640"
"11460","AT3G15160",9586,-0.0065,"AP-5 complex subunit zeta-1(AT3G15160)","AT3G15160"
"18651","AT5G02790",9543,-0.0065,"Glutathione S-transferase family protein(GSTL3)","GSTL3"
"20976","AT5G32436",9844,-0.0065,"hypothetical protein(AT5G32436)","AT5G32436"
"23167","AT5G59030",9543,-0.0065,"copper transporter 1(COPT1)","COPT1"
"23188","AT5G59300",9871,-0.0065,"ubiquitin-conjugating enzyme E2(UBC7)","UBC7"
"23197","AT5G59380",9524,-0.0065,"methyl-CPG-binding domain 6(MBD6)","MBD6"
"4944","AT1G67050",9593,-0.0066,"membrane-associated kinase regulator(AT1G67050)","AT1G67050"
"13907","AT3G53880",9587,-0.0066,"NAD(P)-linked oxidoreductase superfamily protein(AKR4C11)","AKR4C11"
"15105","AT4G02700",9846,-0.0066,"sulfate transporter 3;2(SULTR3;2)","SULTR3;2"
"15152","AT4G03180",9533,-0.0066,"rRNA-processing protein(AT4G03180)","AT4G03180"
"18811","AT5G04400",9905,-0.0066,"NAC domain protein(NAC077)","NAC077"
"20764","AT5G26600",9586,-0.0066,"Pyridoxal phosphate (PLP)-dependent transferases superfamily protein(AT5G26600)","AT5G26600"
"3111","AT1G35670",9593,-0.0067,"calcium-dependent protein kinase 2(CDPK2)","CDPK2"
"4674","AT1G64195",9598,-0.0067,"Defensin-like (DEFL) family protein(AT1G64195)","AT1G64195"
"6096","AT1G78920",9584,-0.0067,"vacuolar H+-pyrophosphatase 2(VP2)","VP2"
"6212","AT1G80100",9871,-0.0067,"histidine phosphotransfer protein 6(HP6)","HP6"
"7794","AT2G24660",9584,-0.0067,"hypothetical protein(AT2G24660)","AT2G24660"
"8793","AT2G35530",9905,-0.0067,"basic region/leucine zipper transcription factor 16(bZIP16)","bZIP16"
"20451","AT5G22875",9543,-0.0067,"transmembrane protein(AT5G22875)","AT5G22875"
"211","AT1G03140",9533,-0.0068,"splicing factor Prp18 family protein(AT1G03140)","AT1G03140"
"4389","AT1G61190",9533,-0.0068,"LRR and NB-ARC domains-containing disease resistance protein(AT1G61190)","AT1G61190"
"5766","AT1G75440",9844,-0.0068,"ubiquitin-conjugating enzyme 16(UBC16)","UBC16"
"10125","AT3G01710",9531,-0.0068,"TPX2 (targeting protein for Xklp2) protein family(AT3G01710)","AT3G01710"
"12207","AT3G23070",9584,-0.0068,"CRM family member 3A(CFM3A)","CFM3A"
"13284","AT3G47400",9531,-0.0068,"Plant invertase/pectin methylesterase inhibitor superfamily(AT3G47400)","AT3G47400"
"17379","AT4G28910",9846,-0.0068,"Putative interactor of JAZ(NINJA)","NINJA"
"23643","AT5G64220",9547,-0.0068,"Calmodulin-binding transcription activator protein with CG-1 and Ankyrin domain(AT5G64220)","AT5G64220"
"2061","AT1G22140",9601,-0.0069,"zinc finger CCCH domain protein(AT1G22140)","AT1G22140"
"4075","AT1G55675",9944,-0.0069,"transmembrane protein(AT1G55675)","AT1G55675"
"13766","AT3G52300",9560,-0.0069,"ATP synthase D chain(ATPQ)","ATPQ"
"22588","AT5G52910",9526,-0.0069,"timeless family protein(ATIM)","ATIM"
"2055","AT1G22070",9584,-0.007,"transcription factor TGA3(TGA3)","TGA3"
"10580","AT3G06190",9593,-0.007,"BTB-POZ and MATH domain 2(BPM2)","BPM2"
"12741","AT3G28865",9531,-0.007,"hypothetical protein(AT3G28865)","AT3G28865"
"12897","AT3G32917",9845,-0.007,"hypothetical protein(AT3G32917)","AT3G32917"
"22314","AT5G49650",9522,-0.007,"xylulose kinase-2(XK-2)","XK-2"
"335","AT1G04420",9871,-0.0071,"NAD(P)-linked oxidoreductase superfamily protein(AT1G04420)","AT1G04420"
"8725","AT2G34760",9905,-0.0071,"miscRNA(AT2G34760)","AT2G34760"
"11216","AT3G12980",9550,-0.0071,"histone acetyltransferase of the CBP family 5(HAC5)","HAC5"
"11425","AT3G14800",9584,-0.0071,"hypothetical protein(AT3G14800)","AT3G14800"
"23208","AT5G59480",9584,-0.0071,"Haloacid dehalogenase-like hydrolase (HAD) superfamily protein(AT5G59480)","AT5G59480"
"11951","AT3G20250",9880,-0.0072,"pumilio 5(PUM5)","PUM5"
"15116","AT4G02790",9524,-0.0072,"GTP-binding family protein(EMB3129)","EMB3129"
"15187","AT4G03510",9543,-0.0072,"RING membrane-anchor 1(RMA1)","RMA1"
"18957","AT5G05960",9543,-0.0072,"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT5G05960)","AT5G05960"
"2346","AT1G26390",8357,-0.0073,"FAD-binding Berberine family protein(AT1G26390)","AT1G26390"
"12350","AT3G24600",9819,-0.0073,"late embryogenesis abundant protein, group 2(AT3G24600)","AT3G24600"
